last_name, first_name,woba,xwoba,diff
Brinson, Lewis,0.205,0.243,-0.038
Engel, Adam,0.296,0.275,0.021
Diaz, Aledmys,0.345,0.339,0.006
Cordell, Ryan,0.279,0.274,0.005
Frazier, Clint,0.333,0.315,0.018
Perez, Hernan,0.271,0.257,0.014
Mejia, Francisco,0.317,0.285,0.032
Mathis, Jeff,0.19,0.196,-0.006
Haseley, Adam,0.309,0.266,0.043
Barnes, Austin,0.272,0.258,0.014
Russell, Addison,0.297,0.285,0.012
Romine, Austin,0.315,0.305,0.01
Beckham, Gordon,0.274,0.285,-0.011
Joyce, Matt,0.372,0.36,0.012
Robertson, Daniel,0.275,0.276,-0.001
Casali, Curt,0.316,0.309,0.007
Adrianza, Ehire,0.326,0.323,0.003
Heredia, Guillermo,0.291,0.298,-0.007
Inciarte, Ender,0.318,0.29,0.028
Broxton, Keon,0.229,0.235,-0.006
Solano, Donovan,0.346,0.339,0.007
Cave, Jake,0.343,0.36,-0.017
Lamb, Jake,0.297,0.34,-0.043
Aquino, Aristides,0.36,0.334,0.026
Greiner, Grayson,0.242,0.246,-0.004
Kiner-Falefa, Isiah,0.272,0.258,0.014
Hechavarria, Adeiny,0.312,0.302,0.01
Freeman, Mike,0.327,0.281,0.046
Bichette, Bo,0.384,0.335,0.049
Vargas, Ildemaro,0.3,0.278,0.022
Smith, Kevan,0.306,0.346,-0.04
Stallings, Jacob,0.297,0.313,-0.016
Astudillo, Willians,0.288,0.32,-0.032
France, Ty,0.296,0.293,0.003
Morales, Kendrys,0.264,0.364,-0.1
Avila, Alex,0.323,0.357,-0.034
Diaz, Isan,0.248,0.258,-0.01
Sisco, Chance,0.319,0.332,-0.013
Farmer, Kyle,0.289,0.282,0.007
Starling, Bubba,0.247,0.246,0.001
Smith, Dominic,0.368,0.327,0.041
Owings, Chris,0.198,0.237,-0.039
Smith, Will,0.369,0.323,0.046
Descalso, Daniel,0.238,0.265,-0.027
Slater, Austin,0.32,0.331,-0.011
Leon, Sandy,0.24,0.228,0.012
Dickerson, Alex,0.341,0.342,-0.001
Zimmerman, Ryan,0.313,0.321,-0.008
Rickard, Joey,0.29,0.273,0.017
Dean, Austin,0.276,0.299,-0.023
Healy, Ryon,0.308,0.324,-0.016
Freese, David,0.415,0.382,0.033
Demeritte, Travis,0.272,0.279,-0.007
Kang, Jung Ho,0.256,0.29,-0.034
Wieters, Matt,0.292,0.289,0.003
Grisham, Trent,0.316,0.304,0.012
Jay, Jon,0.275,0.273,0.002
Munoz, Yairo,0.281,0.245,0.036
Pina, Manny,0.308,0.31,-0.002
Austin, Tyler,0.298,0.317,-0.019
Zobrist, Ben,0.303,0.306,-0.003
Nunez, Eduardo,0.233,0.259,-0.026
Plawecki, Kevin,0.273,0.286,-0.013
Bour, Justin,0.267,0.28,-0.013
Miller, Brad,0.368,0.344,0.024
Duffy, Matt,0.299,0.307,-0.008
Lowe, Nate,0.328,0.327,0.001
Long, Shed,0.333,0.271,0.062
Fisher, Derek,0.285,0.294,-0.009
Polanco, Gregory,0.305,0.294,0.011
Gonzalez, Carlos,0.254,0.274,-0.02
Thaiss, Matt,0.303,0.287,0.016
Iannetta, Chris,0.303,0.312,-0.009
Goins, Ryan,0.298,0.273,0.025
Ford, Mike,0.372,0.365,0.007
Reynolds, Mark,0.268,0.266,0.002
Knapp, Andrew,0.282,0.292,-0.01
Cervelli, Francisco,0.285,0.284,0.001
Tucker, Cole,0.264,0.285,-0.021
Travis, Sam,0.273,0.281,-0.008
Rojas, Josh,0.279,0.326,-0.047
Tilson, Charlie,0.256,0.267,-0.011
Rondon, Jose,0.241,0.264,-0.023
Reyes, Pablo,0.26,0.244,0.016
Happ, Ian,0.368,0.353,0.015
Gonzalez, Erik,0.262,0.246,0.016
Hernandez, Marco,0.266,0.242,0.024
O'Neill, Tyler,0.308,0.284,0.024
Viloria, Meibrys,0.236,0.211,0.025
Stassi, Max,0.177,0.236,-0.059
Puello, Cesar,0.325,0.324,0.001
Harrison, Josh,0.208,0.286,-0.078
Culberson, Charlie,0.306,0.282,0.024
Nido, Tomas,0.228,0.237,-0.009
Williamson, Mac,0.23,0.262,-0.032
Difo, Wilmer,0.27,0.265,0.005
Brosseau, Michael,0.329,0.271,0.058
Gallagher, Cam,0.294,0.262,0.032
Stewart, DJ,0.299,0.297,0.002
Gennett, Scooter,0.241,0.222,0.019
Rodriguez, Sean,0.319,0.3,0.019
Herrera, Odubel,0.272,0.277,-0.005
Riddle, JT,0.25,0.261,-0.011
Arteaga, Humberto,0.221,0.254,-0.033
Solak, Nick,0.375,0.343,0.032
Duvall, Adam,0.36,0.329,0.031
